Date,Open,High,Low,Close,Adj Close,Volume
2025-08-08,1.1677,1.1679,1.1631,1.1677,1.1677,-
2025-08-07,1.1663,1.1695,1.1614,1.1663,1.1663,-
2025-08-06,1.1579,1.1646,1.1565,1.1579,1.1579,-
2025-08-05,1.1584,1.1588,1.1530,1.1584,1.1584,-
2025-08-04,1.1587,1.1589,1.1551,1.1587,1.1587,-
2025-08-01,1.1424,1.1583,1.1395,1.1424,1.1424,-
2025-07-31,1.1429,1.1460,1.1407,1.1429,1.1429,-
2025-07-30,1.1551,1.1573,1.1459,1.1551,1.1551,-
2025-07-29,1.1597,1.1601,1.1520,1.1597,1.1597,-
2025-07-28,1.1757,1.1771,1.1610,1.1757,1.1757,-
2025-07-25,1.1756,1.1761,1.1707,1.1756,1.1756,-
2025-07-24,1.1774,1.1788,1.1733,1.1774,1.1774,-
2025-07-23,1.1739,1.1753,1.1712,1.1739,1.1739,-
2025-07-22,1.1695,1.1749,1.1680,1.1695,1.1695,-
2025-07-21,1.1631,1.1717,1.1615,1.1631,1.1631,-
2025-07-18,1.1615,1.1670,1.1613,1.1615,1.1615,-
2025-07-17,1.1636,1.1636,1.1569,1.1636,1.1636,-
2025-07-16,1.1607,1.1717,1.1564,1.1607,1.1607,-
2025-07-15,1.1666,1.1692,1.1602,1.1666,1.1666,-
2025-07-14,1.1682,1.1699,1.1657,1.1682,1.1682,-
2025-07-11,1.1703,1.1714,1.1666,1.1703,1.1703,-
2025-07-10,1.1731,1.1751,1.1666,1.1731,1.1731,-
2025-07-09,1.1725,1.1729,1.1691,1.1725,1.1725,-
2025-07-08,1.1737,1.1765,1.1685,1.1737,1.1737,-
2025-07-07,1.1781,1.1790,1.1719,1.1781,1.1781,-
2025-07-04,1.1771,1.1787,1.1757,1.1771,1.1771,-
2025-07-03,1.1800,1.1813,1.1721,1.1800,1.1800,-
2025-07-02,1.1806,1.1810,1.1749,1.1806,1.1806,-
2025-07-01,1.1787,1.1830,1.1768,1.1787,1.1787,-
2025-06-30,1.1727,1.1772,1.1709,1.1727,1.1727,-
2025-06-27,1.1692,1.1751,1.1684,1.1692,1.1692,-
2025-06-26,1.1684,1.1743,1.1669,1.1684,1.1684,-
2025-06-25,1.1612,1.1631,1.1591,1.1612,1.1612,-
2025-06-24,1.1599,1.1636,1.1583,1.1599,1.1599,-
2025-06-23,1.1501,1.1552,1.1456,1.1501,1.1501,-
2025-06-20,1.1513,1.1535,1.1496,1.1513,1.1513,-
2025-06-19,1.1477,1.1487,1.1448,1.1477,1.1477,-
2025-06-18,1.1483,1.1530,1.1482,1.1483,1.1483,-
2025-06-17,1.1551,1.1574,1.1513,1.1551,1.1551,-
2025-06-16,1.1557,1.1615,1.1525,1.1557,1.1557,-
2025-06-13,1.1600,1.1612,1.1493,1.1600,1.1600,-
2025-06-12,1.1509,1.1629,1.1503,1.1509,1.1509,-
2025-06-11,1.1437,1.1491,1.1406,1.1437,1.1437,-
2025-06-10,1.1428,1.1448,1.1375,1.1428,1.1428,-
2025-06-09,1.1408,1.1440,1.1388,1.1408,1.1408,-
2025-06-06,1.1454,1.1459,1.1372,1.1454,1.1454,-
2025-06-05,1.1422,1.1494,1.1406,1.1422,1.1422,-
2025-06-04,1.1384,1.1435,1.1359,1.1384,1.1384,-
2025-06-03,1.1453,1.1455,1.1368,1.1453,1.1453,-
2025-06-02,1.1353,1.1449,1.1356,1.1353,1.1353,-
2025-05-30,1.1378,1.1390,1.1314,1.1378,1.1378,-
2025-05-29,1.1234,1.1369,1.1227,1.1234,1.1234,-
2025-05-28,1.1337,1.1346,1.1284,1.1337,1.1337,-
2025-05-27,1.1388,1.1409,1.1325,1.1388,1.1388,-
2025-05-26,1.1373,1.1419,1.1369,1.1373,1.1373,-
2025-05-23,1.1282,1.1377,1.1280,1.1282,1.1282,-
2025-05-22,1.1331,1.1345,1.1267,1.1331,1.1331,-
2025-05-21,1.1288,1.1362,1.1287,1.1288,1.1288,-
2025-05-20,1.1233,1.1277,1.1219,1.1233,1.1233,-
2025-05-19,1.1188,1.1286,1.1174,1.1188,1.1188,-
2025-05-16,1.1193,1.1220,1.1141,1.1193,1.1193,-
2025-05-15,1.1182,1.1228,1.1175,1.1182,1.1182,-
2025-05-14,1.1186,1.1265,1.1182,1.1186,1.1186,-
2025-05-13,1.1096,1.1177,1.1097,1.1096,1.1096,-
2025-05-12,1.1230,1.1243,1.1075,1.1230,1.1230,-
2025-05-09,1.1224,1.1291,1.1200,1.1224,1.1224,-
2025-05-08,1.1306,1.1337,1.1236,1.1306,1.1306,-
2025-05-07,1.1343,1.1378,1.1327,1.1343,1.1343,-
2025-05-06,1.1313,1.1361,1.1281,1.1313,1.1313,-
2025-05-05,1.1323,1.1365,1.1313,1.1323,1.1323,-
2025-05-02,1.1296,1.1379,1.1275,1.1296,1.1296,-
2025-05-01,1.1325,1.1341,1.1267,1.1325,1.1325,-
2025-04-30,1.1389,1.1399,1.1327,1.1389,1.1389,-
2025-04-29,1.1409,1.1420,1.1371,1.1409,1.1409,-
2025-04-28,1.1343,1.1408,1.1331,1.1343,1.1343,-
2025-04-25,1.1372,1.1384,1.1316,1.1372,1.1372,-
2025-04-24,1.1327,1.1394,1.1322,1.1327,1.1327,-
2025-04-23,1.1351,1.1440,1.1338,1.1351,1.1351,-
2025-04-22,1.1513,1.1547,1.1454,1.1513,1.1513,-
2025-04-17,1.1397,1.1396,1.1341,1.1397,1.1397,-
2025-04-16,1.1293,1.1390,1.1294,1.1293,1.1293,-
2025-04-15,1.1340,1.1378,1.1286,1.1340,1.1340,-
2025-04-14,1.1343,1.1425,1.1300,1.1343,1.1343,-
2025-04-11,1.1258,1.1472,1.1251,1.1258,1.1258,-
2025-04-10,1.0952,1.1225,1.0953,1.0952,1.0952,-
2025-04-09,1.0980,1.1095,1.0972,1.0980,1.0980,-
2025-04-08,1.0915,1.0992,1.0892,1.0915,1.0915,-
2025-04-07,1.0985,1.1050,1.0903,1.0985,1.0985,-
2025-04-04,1.1044,1.1108,1.0965,1.1044,1.1044,-
2025-04-03,1.0909,1.1133,1.0882,1.0909,1.0909,-
2025-04-02,1.0796,1.0873,1.0782,1.0796,1.0796,-
2025-04-01,1.0819,1.0831,1.0780,1.0819,1.0819,-
2025-03-31,1.0824,1.0848,1.0786,1.0824,1.0824,-
2025-03-28,1.0801,1.0845,1.0766,1.0801,1.0801,-
2025-03-27,1.0742,1.0819,1.0742,1.0742,1.0742,-
2025-03-26,1.0787,1.0802,1.0769,1.0787,1.0787,-
2025-03-25,1.0804,1.0831,1.0779,1.0804,1.0804,-
2025-03-24,1.0836,1.0857,1.0791,1.0836,1.0836,-
2025-03-21,1.0857,1.0861,1.0806,1.0857,1.0857,-
2025-03-20,1.0912,1.0918,1.0818,1.0912,1.0912,-
2025-03-19,1.0939,1.0946,1.0876,1.0939,1.0939,-
2025-03-18,1.0919,1.0954,1.0897,1.0919,1.0919,-
2025-03-17,1.0881,1.0929,1.0869,1.0881,1.0881,-
2025-03-14,1.0856,1.0910,1.0831,1.0856,1.0856,-
2025-03-13,1.0886,1.0899,1.0823,1.0886,1.0886,-
2025-03-12,1.0914,1.0935,1.0877,1.0914,1.0914,-
2025-03-11,1.0839,1.0930,1.0837,1.0839,1.0839,-
2025-03-10,1.0861,1.0873,1.0806,1.0861,1.0861,-
2025-03-07,1.0788,1.0886,1.0782,1.0788,1.0788,-
2025-03-06,1.0795,1.0851,1.0782,1.0795,1.0795,-
2025-03-05,1.0627,1.0786,1.0603,1.0627,1.0627,-
2025-03-04,1.0485,1.0560,1.0472,1.0485,1.0485,-
2025-03-03,1.0414,1.0500,1.0390,1.0414,1.0414,-
2025-02-28,1.0395,1.0421,1.0382,1.0395,1.0395,-
2025-02-27,1.0489,1.0490,1.0405,1.0489,1.0489,-
2025-02-26,1.0524,1.0527,1.0476,1.0524,1.0524,-
2025-02-25,1.0461,1.0518,1.0458,1.0461,1.0461,-
2025-02-24,1.0475,1.0529,1.0454,1.0475,1.0475,-
2025-02-21,1.0501,1.0508,1.0450,1.0501,1.0501,-
2025-02-20,1.0421,1.0479,1.0420,1.0421,1.0421,-
2025-02-19,1.0448,1.0462,1.0405,1.0448,1.0448,-
2025-02-18,1.0485,1.0486,1.0443,1.0485,1.0485,-
2025-02-17,1.0489,1.0507,1.0467,1.0489,1.0489,-
2025-02-14,1.0462,1.0514,1.0448,1.0462,1.0462,-
2025-02-13,1.0392,1.0446,1.0379,1.0392,1.0392,-
2025-02-12,1.0365,1.0396,1.0318,1.0365,1.0365,-
2025-02-11,1.0302,1.0352,1.0293,1.0302,1.0302,-
2025-02-10,1.0312,1.0336,1.0300,1.0312,1.0312,-
